source_id,title,publisher,source_type,domain,publication_date,effective_date,status,url,access_date,authority_level,source_authority,normative_force,applicability,specificity,applicable_scope,summary,used_by,verification_status,notes
SRC-LAW-004,中华人民共和国数据安全法,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,信息安全数据治理,2021-06-10,2021-09-01,active,http://www.npc.gov.cn/npc/c2/c30834/202106/t20210610_311888.html,2026-09-12,L0,OFFICIAL,MANDATORY,DIRECT,DOMAIN,中国境内数据处理活动及其安全监管,规范数据处理全流程（收集/存储/使用/加工/传输/提供/公开）、数据分类分级保护、数据安全审查、政务数据安全与开放；含 7 章 55 条,REF003;POL017,VERIFIED,Stage 2 真实访问核验（2026-09-12）；npc.gov.cn 全文；第 31 条对接网络安全法第 37 条关键信息基础设施出境安全；星澜作为数据处理者直接受本法约束
SRC-LAW-005,中华人民共和国招标投标法（2017 修正）,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,招投标,1999-08-30,2000-01-01,active,https://ggzyfw.beijing.gov.cn/cmsbj/u/cms/cn.gov.bjggzyfw.www/202011/10094601yq46.pdf,2026-09-12,L0,OFFICIAL,REFERENCE,ANALOGICAL,DOMAIN,中国境内招标投标活动,规范招标、投标、开标、评标和中标活动及法律责任；含 6 章；2017-12-27 修订（主席令第 86 号）调整招标代理资格相关条款,REF006;POL013;POL014,VERIFIED,Stage 2 真实访问核验（2026-09-12）；北京市公共资源交易服务平台收录全文；星澜作为参与依法必须招标项目投标的供应商间接适用，星澜内部采购可参考但不强制
SRC-LAW-006,中华人民共和国民法典（合同编）,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,合同,2020-05-28,2021-01-01,active,http://www.gxqn.gov.cn/bmfw/shfl/sasasds/yhgrfc/t17986425.shtml,2026-09-12,L0,OFFICIAL,MANDATORY,DIRECT,DOMAIN,平等主体的自然人/法人/非法人组织之间的人身关系和财产关系,合同编第三编：通则（一般规定/订立/效力/履行/保全/变更转让/权利义务终止/违约责任）与典型合同（买卖/借款/委托/技术/承揽/建设工程等 19 章）；与 1240 条全文配套适用,REF008;POL014,VERIFIED,Stage 2 真实访问核验（2026-09-12）；多省/市政府公开转载；星澜与客户/供应商/员工各类合同直接受合同编约束
SRC-LAW-002,中华人民共和国网络安全法（2025 修正）,全国人民代表大会常务委员会（中央网信办转载中国人大网现行全文）,PUBLIC_OFFICIAL,信息安全数据治理,2025-10-28,2026-01-01,active,https://www.cac.gov.cn/2025-12/29/c_1768735112911946.htm,2026-09-12,L0,OFFICIAL,MANDATORY,DIRECT,DOMAIN,中国境内网络建设运营维护使用及网络安全监督管理,2025 修正后的现行全文；覆盖网络运行安全、关键信息基础设施、网络信息安全、监测预警和法律责任。,REF004;POL017;POL018,VERIFIED,Stage 2.1 核验：旧 URL 仅含 2016 原文；已替换为中央网信办转载的中国人大网 2025 修正现行全文；修正自 2026-01-01 施行
SRC-CORP-002,《项目管理知识体系指南（PMBOK 第 7 版）》简介,PMI（美国项目管理协会）中国,PUBLIC_CORPORATE,项目管理,2021-01-01,2021-01-01,active,https://china.pmi.org/jcbz/index.jhtml,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,DOMAIN,项目管理实践,PMBOK 第 7 版从过程导向转向原则导向，12 项原则 + 8 个绩效域（干系人/团队/开发方法与生命周期/规划/项目工作/交付/测量/不确定性）；同时获得 ANSI 标准认可、ISO 21500 重要参考,REF012;POL005;POL006;POL007,VERIFIED,Stage 2 真实访问核验（2026-09-12）；china.pmi.org PMI 中国官方；公开实践参考价值高
SRC-CASE-001,中国科学院沈阳自动化研究所 AI 科研知识库系统采购项目公开招标公告,中科院沈阳自动化研究所（采购人）+ 华采招标集团（代理机构）,PUBLIC_CASE,知识库/AI,2026-07-29,2026-08-19,active,https://www.ccgp.gov.cn/cggg/zygg/gkzb/202607/t20260729_27027350.htm,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,DOMAIN,科研机构 AI 知识库系统采购,采购需求：本地化部署的 AI 科研知识库系统，预算 80 万元，包含：科研资料智能化阅读检索、代码生成、国家标准合规审查；交付 8 个月；适用《政府采购法》第 22 条供应商资格,REF018;POL011,VERIFIED,Stage 2 真实访问核验（2026-09-12）；ccgp.gov.cn 中国政府采购网，财政部下属官方采购信息平台；典型"AI/科研知识库"政府采购案例
SRC-CASE-002,福建省人工智能产业园（泉州园）大模型赋能项目一期,泉州软件园建设发展有限公司（招标人）+ 福建瑞晟建设工程造价咨询（代理）,PUBLIC_CASE,智慧园区/AI,2025-11-10,2025-11-10,active,https://ggzyjd.fj.gov.cn/business/linkageDetail?PROJECT_CODE=I3505030502173288001&KIND=1&type=GCJS,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,DOMAIN,智慧园区 AI 集成项目招标,招标内容：基于 AI 大模型搭建智慧园区管理平台、Agent 智能体场景、可视化专题应用、模型引擎（MaaS）、大模型赋能安全管理平台、数字孪生大屏、园区 3D 建模、数字人系统、地空巡查智能终端,REF018;POL005;POL011,VERIFIED,Stage 2 真实访问核验（2026-09-12）；ggzyjd.fj.gov.cn 福建省公共资源交易电子行政监督平台；属于 P001 类型的智慧园区领域
SRC-ROLE-001,字节跳动 2027 届校招 AI 算法工程师 JD,字节跳动（BYTEDANCE PTE. LTD.）校园招聘,PUBLIC_CORPORATE,人力资源,2026-04-02,2026-06-01,active,https://jobs.bytedance.com/campus/position/detail/7669626764651694341,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,DOMAIN,AI 算法工程师校招岗位样例,JD 关键信息：岗位职责（LLM/NLP/CV/多模态/Agent/RAG），要求硕士及以上 2027 届，熟悉 LLM 训练、Prompt Engineering、RAG、向量召回、NL2SQL；薪资 30-80 万年薪,REF015;POL003,VERIFIED,Stage 2 真实访问核验（2026-09-12）；jobs.bytedance.com 字节跳动官方校园招聘官网；作为通用 AI 算法岗公开样例
SRC-STD-002,GB/T 41304.3-2025 知识管理方法和工具 第3部分：会议知识管理,国家市场监督管理总局和国家标准化管理委员会,PUBLIC_OFFICIAL,会议治理,2025-08-01,2026-02-01,active,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=05AE6AE640457B1469BED4E241BF3EF5,2026-09-12,L0,OFFICIAL,GUIDANCE,ANALOGICAL,DOMAIN,组织会议知识管理,现行推荐性国标；提供会议知识管理的方法和工具参考。,REF016;POL008,VERIFIED,Stage 2.1 官方标准详情页核验；不把推荐性标准直接转为内部强制要求
SRC-STD-003,GB/T 44927-2024 知识管理体系 要求,国家市场监督管理总局和国家标准化管理委员会,PUBLIC_OFFICIAL,知识管理,2024-12-31,2025-04-01,active,https://openstd.samr.gov.cn/bzgk/std/std_list?p.p1=0&p.p2=GB%2FT+44927&p.p90=circulation_date&p.p91=desc,2026-09-12,L0,OFFICIAL,GUIDANCE,ANALOGICAL,DOMAIN,组织知识管理体系,现行推荐性国标；定义知识管理体系要求的公开参考框架。,REF017;POL009,VERIFIED,Stage 2.1 标准检索结果核验现行状态与日期；具体实施须结合企业实际
SRC-STD-004,GB/T 9704-2012 党政机关公文格式,国家质量监督检验检疫总局和国家标准化管理委员会,PUBLIC_OFFICIAL,公文规范,2012-06-29,2012-07-01,active,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=F3CC9BEF482524C895FDA7A08BB4A70E,2026-09-12,L0,OFFICIAL,GUIDANCE,ANALOGICAL,DOMAIN,党政机关公文格式,现行推荐性国家标准；可参考公文版式要素和格式控制。,POL010,VERIFIED,Stage 2.1 官方标准详情页核验；星澜非党政机关时仅作为格式参考
SRC-MOF-002,企业内部控制基本规范（财会〔2008〕7号）,财政部证监会审计署银监会保监会,PUBLIC_OFFICIAL,企业内控,2008-05-22,2009-07-01,active,https://kjs.mof.gov.cn/zhengcefabu/200807/t20080704_55982.htm,2026-09-12,L0,OFFICIAL,GUIDANCE,ANALOGICAL,DOMAIN,境内大中型企业内部控制,界定内控目标、要素和原则；非上市企业可参照建立内控体系。,REF014;POL012;POL015;POL016,VERIFIED,Stage 2.1 财政部原文核验；适用性按企业规模与法定范围判断
SRC-MOF-003,企业内部控制应用指引第7号——采购业务,财政部等五部委,PUBLIC_OFFICIAL,采购供应商,2010-04-15,2010-04-15,active,https://kjs.mof.gov.cn/zhengcefabu/201005/P020230421440664863663.pdf,2026-09-12,L0,OFFICIAL,GUIDANCE,ANALOGICAL,DOMAIN,企业采购业务,覆盖采购计划、请购、供应商选择、验收付款和后评估等风险控制。,POL011;POL012,VERIFIED,Stage 2.1 财政部配套指引 PDF 核验；作为内部控制设计的类比依据
SRC-LAW-010,中华人民共和国著作权法（2020 修正）,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,知识产权,2020-11-11,2021-06-01,active,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,2026-09-12,L0,OFFICIAL,MANDATORY,DIRECT,DOMAIN,作品著作权及相关权利,规定作品权属、许可使用转让和侵权保护规则。,POL018,VERIFIED,Stage 2.1 中国人大网现行文本核验
SRC-LAW-011,商业秘密保护规定,国家市场监督管理总局,PUBLIC_OFFICIAL,保密,2026-04-10,2026-06-01,active,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2026/art_a89ca909478b460595670fabe02b21d3.html,2026-09-12,L0,OFFICIAL,GUIDANCE,DIRECT,DOMAIN,商业秘密保护与执法,明确商业秘密侵权调查、保密义务和处置要求。,POL018,VERIFIED,Stage 2.1 市场监管总局现行原文核验；不得与国家秘密规则混同
SRC-CORP-003,武汉凡谷电子技术股份有限公司2024年度内部控制评价报告,武汉凡谷电子技术股份有限公司,PUBLIC_CORPORATE,项目预算合同,2025-03-29,2025-03-29,active,https://static.cninfo.com.cn/finalpage/2025-03-29/1222943427.PDF,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,DOMAIN,上市公司项目预算合同内控实践,披露工程立项变更验收、预算成本跟踪和合同审批履约监控的内控做法。,POL005;POL006;POL007;POL014;POL015;POL016,VERIFIED,Stage 2.1 巨潮 PDF 核验公司、标题与正文；仅作行业外公开实践
SRC-CORP-004,北京高盟新材料股份有限公司2024年度内部控制评价报告,北京高盟新材料股份有限公司,PUBLIC_CORPORATE,人力资源文档,2025-03-28,2025-03-28,active,https://static.cninfo.com.cn/finalpage/2025-03-28/1222924390.PDF,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,DOMAIN,上市公司人力资源与信息沟通实践,披露聘用培训考核奖惩晋升及 OA 会议规章共享等内控实践。,POL001;POL002;POL003;POL004;POL008;POL009,VERIFIED,Stage 2.1 巨潮 PDF 核验；具体考核和组织配置不可照搬
SRC-ROLE-002,华为财经IT产品Java开发岗位 JD,华为技术有限公司招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=6235,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,Java后端工程师岗位,要求 Java 开发、微服务和云原生经验并承担核心模块交付。,REF015;POL002,VERIFIED,Stage 2.1 华为招聘岗位页核验
SRC-ROLE-003,华为AI底层软件栈岗位 JD,华为技术有限公司招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=32189,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,AI算法工程师岗位,涵盖AI编译训练推理和大模型工程化能力要求。,REF015;POL003,VERIFIED,Stage 2.1 华为招聘岗位页核验
SRC-ROLE-004,华为解决方案项目支撑岗位 JD,华为技术有限公司招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=18749,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,项目经理和解决方案顾问岗位,覆盖解决方案设计、项目拓展、PMP与大型项目经理经验要求。,REF015;POL005;POL006,VERIFIED,Stage 2.1 华为招聘岗位页核验
SRC-ROLE-005,华为行政采购执行者岗位 JD,华为技术有限公司招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=6252,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,采购专员岗位,覆盖供应商认证选择合同签署和供应商绩效管理。,REF015;POL011;POL012,VERIFIED,Stage 2.1 华为招聘岗位页核验
SRC-ROLE-006,华为中国法务部岗位 JD,华为技术有限公司招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?dataSource=1&jobId=27249,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,法务合同风控岗位,覆盖合同评审起草交易风险识别争议处理和合规指引。,REF015;POL014;POL018,VERIFIED,Stage 2.1 华为招聘岗位页核验
SRC-ROLE-007,字节跳动前端开发工程师 JD,字节跳动校园招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://jobs.bytedance.com/campus/position/7529528303616018696/detail,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,前端工程师岗位,公开招聘岗位页面；用于前端岗位样例目录。,REF015,VERIFIED,Stage 2.1 字节跳动招聘页面可访问；岗位页面未提供可引用的完整职责文本
SRC-CASE-003,宁波海洋中心Deepseek大模型本地化部署服务采购项目,宁波海洋中心和宁波市国际招标有限公司,PUBLIC_CASE,大模型知识库,2026-03-11,2026-03-11,active,https://www.ccgp.gov.cn/cggg/zygg/gkzb/202603/t20260311_26258634.htm,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,大模型私有化部署采购,预算62万元；要求90日内完成含知识库和智能体场景的部署调试并提供三年支撑。,REF018;POL005;POL011,VERIFIED,Stage 2.1 中国政府采购网公告核验需求履约期和主体
SRC-CASE-004,中国电子技术标准化研究院编程代码大模型数据集采购项目,中国电子技术标准化研究院,PUBLIC_CASE,大模型数据,2026-03-30,2026-03-30,active,https://www.ccgp.gov.cn/cggg/zygg/jzxcs/202603/t20260330_26334208.htm,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,大模型数据集采购,两套不少于三万条样本；合同要求45日内提交材料；含资格和采购文件要求。,REF018;POL011;POL013,VERIFIED,Stage 2.1 中国政府采购网核验
SRC-CASE-005,北京大学天津滨海垂域大模型设备采购项目,北京大学天津滨海新一代信息技术研究院,PUBLIC_CASE,大模型算力,2026-03-06,2026-03-06,active,https://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202603/t20260306_26240709.htm,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,垂域大模型设备采购,预算200万元；两套大型计算机；20日履约并公开资格和评审政策。,REF018;POL011;POL013;POL015,VERIFIED,Stage 2.1 中国政府采购网公告和采购文件入口核验
SRC-CASE-006,都兰县公安局智慧巡检无人机及管理系统建设项目,都兰县公安局,PUBLIC_CASE,智慧巡检,2026-09-05,2026-09-05,active,https://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202609/t20260905_27274827.htm,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,智慧巡检信息化项目,预算150万元；包含采购项目要求技术参数和30个工作日交付要求。,REF018;POL005;POL011;POL013,VERIFIED,Stage 2.1 中国政府采购网公告核验
SRC-CASE-007,岳阳市DeepSeek大语言模型本地化部署政府采购服务项目,岳阳市数据局,PUBLIC_CASE,政务大模型,2026-02-24,2026-02-24,active,https://www.ccgp.gov.cn/cggg/dfgg/gkzb/202602/t20260224_26187532.htm,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,政务大模型本地化部署,预算498.972303万元；集中统建模式；36个月履约和综合评分法。,REF018;POL005;POL011;POL014,VERIFIED,Stage 2.1 中国政府采购网公告核验
SRC-CASE-008,全国海关信息中心海关大模型研发管理平台采购意向,全国海关信息中心,PUBLIC_CASE,大模型平台,2025-08-30,2025-08-30,active,https://cgyx.ccgp.gov.cn/cgyx/pub/proJ/details?projId=9a74aebe-db51-44f3-8bf5-b963a4266ef1,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,大模型研发和知识库平台,采购需求含大模型管理工作流编排知识库高可用和GPU统一纳管；预计9个月。,REF018;POL005;POL017,VERIFIED,Stage 2.1 中国政府采购意向页核验；意向不等同最终招标文件
SRC-CASE-009,武汉理工大学数据中台及AI大模型服务器采购意向,武汉理工大学,PUBLIC_CASE,AI算力,2026-07-28,2026-07-28,active,https://cgyx.ccgp.gov.cn/cgyx/pub/proJ/details?projId=9ef9a827-c69f-494e-9a50-e1ed9a923798,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,AI服务器采购,预算700万元；含AI服务器模型纳管网关软件保修和十日安装调试要求。,REF018;POL011;POL015,VERIFIED,Stage 2.1 中国政府采购意向页核验；后续以采购文件为准
SRC-CASE-010,北京大学医学部医学技术大模型知识库及一体机采购意向,北京大学,PUBLIC_CASE,AI知识库,2026-04-01,2026-04-01,active,https://cgyx.ccgp.gov.cn/cgyx/pub/proJ/details?projId=a2a010d9-31bd-496b-9b2a-9670cde0c224,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,大模型知识库采购,预算193万元；整合权威教材构建本地知识库并支持微调与智能问答。,REF018;POL005;POL011,VERIFIED,Stage 2.1 中国政府采购意向页核验；意向仅供需求研究
SRC-CASE-011,中国电子技术标准化研究院大模型项目采购意向,中国电子技术标准化研究院,PUBLIC_CASE,大模型评测,2026-06-03,2026-06-03,active,https://cgyx.ccgp.gov.cn/cgyx/pub/proJ/details?projId=cacbb7bd-65ea-4a0f-85ce-65a51ae1b41a,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,大模型工具和评测采购,预算15113.23万元；采购智能体互联代码医疗教育政务等评测工具。,REF018;POL005;POL017,VERIFIED,Stage 2.1 中国政府采购意向页核验；意向不作为最终技术条款
SRC-CASE-012,南京航空航天大学大模型agent网络空间自动化防御研究平台采购意向,南京航空航天大学,PUBLIC_CASE,AI安全,2026-06-22,2026-06-22,active,https://cgyx.ccgp.gov.cn/cgyx/pub/proJ/details?projId=7c5e1ad9-b409-4b6a-b407-17ebee3c976c,2026-09-12,L4,PUBLIC_CASE,NONE,ANALOGICAL,SCENARIO,AI安全研究平台采购,预算302万元；采购国产大模型agent防御设备实训平台和业务网络系统。,REF018;POL017,VERIFIED,Stage 2.1 中国政府采购意向页核验；用于安全需求类比
SRC-ROLE-008,华为校园招聘人力资源类岗位入口,华为技术有限公司招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://career.huawei.com/reccampportal/portal5/campus-recruitment-detail.html?dataSource=1&jobId=24072&jobType=0&recruitType=CR&sourceType=001,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,HRBP与人力资源岗位样例入口,华为官方招聘页面列出人力资源类岗位分类和校招投递入口；用于岗位来源目录而非具体岗位职责。,REF015;POL001;POL002,VERIFIED,Stage 2.1 官方招聘页核验；页面未给出单一 HRBP 职责文本，Stage 3 不得虚构其 JD 内容
SRC-ROLE-009,字节跳动 HRBP-Data 岗位 JD,字节跳动校园招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://jobs.bytedance.com/campus/position/7396939075862890790/detail,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,HRBP岗位样例,字节跳动官方招聘页展示 HRBP-Data 职位；作为 HRBP 岗位真实公开样例。,REF015;POL001;POL002,VERIFIED,Stage 2.2 已实际打开官方职位页核验职位标题和官方域名；网页未提供可稳定引用的完整职责文本
SRC-ROLE-010,字节跳动 HRBP-集团职能 北京 岗位 JD,字节跳动校园招聘,PUBLIC_CORPORATE,岗位样例,2026-09-12,2026-09-12,active,https://jobs.bytedance.com/campus/position/7486053905575872775/detail?sourceJobId=7504928620578638088,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,SCENARIO,HRBP岗位样例,字节跳动官方招聘页展示集团职能 HRBP 职位；与数据 HRBP 样例形成岗位场景互补。,REF015;POL001;POL002,VERIFIED,Stage 2.2 已实际打开官方职位页核验职位标题和官方域名；不从页面未展示的信息推断岗位职责
