knowledge_id,file_name,primary_upload_agent_id,primary_upload_agent,recommended_agent_labels,knowledge_type,domain,title,source_type,project_id
REF002,REF002_公开依据_个人信息保护相关规则.md,A03,企业知识管家,A03_企业知识管家;A07_AI招聘与人才助手;A11_合同与履约风控官,PUBLIC_REFERENCE,信息安全数据治理,个人信息保护相关规则,PUBLIC_OFFICIAL,
REF003,REF003_公开依据_数据安全相关规则.md,A03,企业知识管家,A03_企业知识管家;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,PUBLIC_REFERENCE,信息安全数据治理,数据安全相关规则,PUBLIC_OFFICIAL,
REF004,REF004_公开依据_网络安全相关规则.md,A03,企业知识管家,A03_企业知识管家;A10_招投标审查官;A11_合同与履约风控官,PUBLIC_REFERENCE,信息安全数据治理,网络安全相关规则,PUBLIC_OFFICIAL,
REF005,REF005_公开依据_政府采购基本规则.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,PUBLIC_REFERENCE,公共法规标准,政府采购基本规则,PUBLIC_OFFICIAL,
REF006,REF006_公开依据_招标投标基本规则.md,A10,招投标审查官,A01_需求洞察与方案顾问;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,PUBLIC_REFERENCE,公共法规标准,招标投标基本规则,PUBLIC_OFFICIAL,
REF007,REF007_公开依据_电子招标投标规则.md,A10,招投标审查官,A09_智能采购顾问;A10_招投标审查官,PUBLIC_REFERENCE,公共法规标准,电子招标投标规则,PUBLIC_OFFICIAL,
REF008,REF008_公开依据_合同示范与民商事规则.md,A11,合同与履约风控官,A01_需求洞察与方案顾问;A10_招投标审查官;A11_合同与履约风控官,PUBLIC_REFERENCE,公共法规标准,合同示范与民商事规则,PUBLIC_OFFICIAL,
REF009,REF009_公开依据_档案管理相关规则.md,A05,企业文档创作官,A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官,PUBLIC_REFERENCE,公共法规标准,档案管理相关规则,PUBLIC_OFFICIAL,
REF010,REF010_公开依据_会计与项目成本规则.md,A12,企业经营分析师,A02_AI项目经理;A12_企业经营分析师,PUBLIC_REFERENCE,公共法规标准,会计与项目成本规则,PUBLIC_OFFICIAL,
REF011,REF011_公开依据_信息安全管理体系参考.md,A03,企业知识管家,A03_企业知识管家;A10_招投标审查官;A11_合同与履约风控官,PUBLIC_REFERENCE,公共法规标准,信息安全管理体系参考,PUBLIC_OFFICIAL,
REF012,REF012_公开依据_项目管理实践参考.md,A02,AI项目经理,A02_AI项目经理;A04_智能会议协同官;A12_企业经营分析师,PUBLIC_REFERENCE,公共法规标准,项目管理实践参考,PUBLIC_CORPORATE,
REF013,REF013_公开依据_采购需求编制参考.md,A09,智能采购顾问,A01_需求洞察与方案顾问;A09_智能采购顾问;A10_招投标审查官,PUBLIC_REFERENCE,公共法规标准,采购需求编制参考,PUBLIC_OFFICIAL,
REF014,REF014_公开依据_企业内部控制参考.md,A12,企业经营分析师,A02_AI项目经理;A09_智能采购顾问;A11_合同与履约风控官;A12_企业经营分析师,PUBLIC_REFERENCE,公共法规标准,企业内部控制参考,PUBLIC_OFFICIAL,
REF015,REF015_公开依据_人力资源管理实践参考.md,A07,AI招聘与人才助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,PUBLIC_REFERENCE,公共企业实践,人力资源管理实践参考,PUBLIC_CORPORATE,
REF016,REF016_公开依据_会议治理实践参考.md,A04,智能会议协同官,A02_AI项目经理;A04_智能会议协同官;A05_企业文档创作官,PUBLIC_REFERENCE,公共企业实践,会议治理实践参考,PUBLIC_CORPORATE,
REF017,REF017_公开依据_知识管理实践参考.md,A03,企业知识管家,A03_企业知识管家;A05_企业文档创作官;A06_文档规范与排版官,PUBLIC_REFERENCE,公共企业实践,知识管理实践参考,PUBLIC_CORPORATE,
REF018,REF018_公开依据_公开政企项目案例研究方法.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问;A02_AI项目经理;A10_招投标审查官;A12_企业经营分析师,PUBLIC_REFERENCE,公共案例,公开政企项目案例研究方法,PUBLIC_CASE,
POL001,POL001_企业制度_人力资源管理办法.md,A07,AI招聘与人才助手,A03_企业知识管家;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,POLICY,人力资源,人力资源管理办法,SYNTHETIC_DERIVED,
POL002,POL002_企业制度_招聘管理制度.md,A07,AI招聘与人才助手,A03_企业知识管家;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,POLICY,招聘,招聘管理制度,SYNTHETIC_DERIVED,
POL003,POL003_企业制度_培训管理制度.md,A08,培训绩效与员工发展助手,A03_企业知识管家;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,POLICY,培训绩效,培训管理制度,SYNTHETIC_DERIVED,
POL004,POL004_企业制度_绩效管理办法.md,A08,培训绩效与员工发展助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手;A12_企业经营分析师,POLICY,培训绩效,绩效管理办法,SYNTHETIC_DERIVED,
POL005,POL005_企业制度_项目管理制度.md,A02,AI项目经理,A01_需求洞察与方案顾问;A02_AI项目经理;A03_企业知识管家;A12_企业经营分析师,POLICY,项目管理,项目管理制度,SYNTHETIC_DERIVED,
POL006,POL006_企业制度_项目立项管理办法.md,A02,AI项目经理,A01_需求洞察与方案顾问;A02_AI项目经理;A12_企业经营分析师,POLICY,项目管理,项目立项管理办法,SYNTHETIC_DERIVED,
POL007,POL007_企业制度_项目变更管理办法.md,A02,AI项目经理,A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,POLICY,项目管理,项目变更管理办法,SYNTHETIC_DERIVED,
POL008,POL008_企业制度_会议管理制度.md,A04,智能会议协同官,A02_AI项目经理;A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官,POLICY,会议协同,会议管理制度,SYNTHETIC_DERIVED,
POL009,POL009_企业制度_文档管理制度.md,A05,企业文档创作官,A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官;A06_文档规范与排版官,POLICY,企业文档,文档管理制度,SYNTHETIC_DERIVED,
POL010,POL010_企业制度_公文管理办法.md,A05,企业文档创作官,A03_企业知识管家;A05_企业文档创作官;A06_文档规范与排版官,POLICY,公文规范,通知请示报告与专项预算公文管理办法,SYNTHETIC_DERIVED,
POL011,POL011_企业制度_采购管理制度.md,A09,智能采购顾问,A02_AI项目经理;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,POLICY,采购,采购管理制度,SYNTHETIC_DERIVED,
POL012,POL012_企业制度_供应商管理制度.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,POLICY,供应商,供应商管理制度,SYNTHETIC_DERIVED,
POL013,POL013_企业制度_招投标管理制度.md,A10,招投标审查官,A01_需求洞察与方案顾问;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,POLICY,招投标,招投标管理制度,SYNTHETIC_DERIVED,
POL014,POL014_企业制度_合同管理制度.md,A11,合同与履约风控官,A01_需求洞察与方案顾问;A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官,POLICY,合同履约,合同管理制度,SYNTHETIC_DERIVED,
POL015,POL015_企业制度_预算管理制度.md,A12,企业经营分析师,A02_AI项目经理;A09_智能采购顾问;A11_合同与履约风控官;A12_企业经营分析师,POLICY,财务,预算管理制度,SYNTHETIC_DERIVED,
POL016,POL016_企业制度_项目成本管理制度.md,A12,企业经营分析师,A02_AI项目经理;A12_企业经营分析师,POLICY,财务,项目成本管理制度,SYNTHETIC_DERIVED,
POL017,POL017_企业制度_信息安全管理制度.md,A03,企业知识管家,A03_企业知识管家;A07_AI招聘与人才助手;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,POLICY,信息安全数据治理,信息安全管理制度,SYNTHETIC_DERIVED,
POL018,POL018_企业制度_知识产权与保密管理制度.md,A11,合同与履约风控官,A03_企业知识管家;A05_企业文档创作官;A10_招投标审查官;A11_合同与履约风控官,POLICY,信息安全数据治理,知识产权与保密管理制度,SYNTHETIC_DERIVED,
SOP001,SOP001_项目管理_客户需求澄清流程.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问;A02_AI项目经理,SOP,项目管理,客户需求澄清流程,INTERNAL_DERIVED,
SOP002,SOP002_项目管理_解决方案设计流程.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问;A02_AI项目经理;A05_企业文档创作官,SOP,项目管理,解决方案设计流程,INTERNAL_DERIVED,
SOP003,SOP003_项目管理_项目立项流程.md,A02,AI项目经理,A01_需求洞察与方案顾问;A02_AI项目经理;A12_企业经营分析师,SOP,项目管理,项目立项流程,INTERNAL_DERIVED,
SOP004,SOP004_项目管理_WBS与里程碑编制流程.md,A02,AI项目经理,A02_AI项目经理;A12_企业经营分析师,SOP,项目管理,WBS与里程碑编制流程,INTERNAL_DERIVED,
SOP005,SOP005_项目管理_项目资源配置流程.md,A02,AI项目经理,A02_AI项目经理;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,SOP,项目管理,项目资源配置流程,INTERNAL_DERIVED,
SOP006,SOP006_项目管理_项目启动流程.md,A02,AI项目经理,A02_AI项目经理;A04_智能会议协同官,SOP,项目管理,项目启动流程,INTERNAL_DERIVED,
SOP007,SOP007_项目管理_项目周报与进度管理流程.md,A02,AI项目经理,A02_AI项目经理;A04_智能会议协同官;A12_企业经营分析师,SOP,项目管理,项目周报与进度管理流程,INTERNAL_DERIVED,
SOP008,SOP008_项目管理_项目风险管理流程.md,A02,AI项目经理,A01_需求洞察与方案顾问;A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,SOP,项目管理,项目风险管理流程,INTERNAL_DERIVED,
SOP009,SOP009_项目管理_项目变更控制流程.md,A02,AI项目经理,A01_需求洞察与方案顾问;A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,SOP,项目管理,项目变更控制流程,INTERNAL_DERIVED,
SOP010,SOP010_项目管理_项目验收流程.md,A02,AI项目经理,A01_需求洞察与方案顾问;A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官,SOP,项目管理,项目验收流程,INTERNAL_DERIVED,
SOP011,SOP011_项目管理_项目结项与复盘流程.md,A02,AI项目经理,A02_AI项目经理;A03_企业知识管家;A12_企业经营分析师,SOP,项目管理,项目结项与复盘流程,INTERNAL_DERIVED,
SOP012,SOP012_会议协同_会议议程与纪要流程.md,A04,智能会议协同官,A02_AI项目经理;A04_智能会议协同官;A05_企业文档创作官,SOP,会议协同,会议议程与纪要流程,INTERNAL_DERIVED,
SOP013,SOP013_企业文档_通知请示报告写作流程.md,A05,企业文档创作官,A03_企业知识管家;A05_企业文档创作官;A06_文档规范与排版官,SOP,企业文档,通知请示报告写作流程,INTERNAL_DERIVED,
SOP014,SOP014_招聘_招聘需求到录用流程.md,A07,AI招聘与人才助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,SOP,招聘,招聘需求到录用流程,INTERNAL_DERIVED,
SOP015,SOP015_培训绩效_入职培训实施流程.md,A08,培训绩效与员工发展助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,SOP,培训绩效,入职培训实施流程,INTERNAL_DERIVED,
SOP016,SOP016_采购_采购申请与询价流程.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,SOP,采购,采购申请与询价流程,INTERNAL_DERIVED,
SOP017,SOP017_供应商_供应商比选与准入流程.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,SOP,供应商,供应商比选与准入流程,INTERNAL_DERIVED,
SOP018,SOP018_合同履约_合同审核与履约跟踪流程.md,A11,合同与履约风控官,A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,SOP,合同履约,合同审核与履约跟踪流程,INTERNAL_DERIVED,
SOP019,SOP019_知识治理_知识新增与审核流程.md,A03,企业知识管家,A03_企业知识管家;A05_企业文档创作官,SOP,知识治理,知识新增与审核流程,INTERNAL_DERIVED,
SOP020,SOP020_知识治理_知识版本与冲突处理流程.md,A03,企业知识管家,A03_企业知识管家;A06_文档规范与排版官;A11_合同与履约风控官,SOP,知识治理,知识版本与冲突处理流程,INTERNAL_DERIVED,
SOP021,SOP021_知识治理_知识废止与归档流程.md,A03,企业知识管家,A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官,SOP,知识治理,知识废止与归档流程,INTERNAL_DERIVED,
SOP022,SOP022_公文规范_文档格式检查流程.md,A06,文档规范与排版官,A05_企业文档创作官;A06_文档规范与排版官,SOP,公文规范,文档格式检查流程,INTERNAL_DERIVED,
SOP023,SOP023_公文规范_文档排版流程.md,A06,文档规范与排版官,A05_企业文档创作官;A06_文档规范与排版官,SOP,公文规范,文档排版流程,INTERNAL_DERIVED,
SOP024,SOP024_公文规范_格式修复与模板套用流程.md,A06,文档规范与排版官,A05_企业文档创作官;A06_文档规范与排版官,SOP,公文规范,格式修复与模板套用流程,INTERNAL_DERIVED,
SOP025,SOP025_培训绩效_绩效目标制定流程.md,A08,培训绩效与员工发展助手,A08_培训绩效与员工发展助手;A12_企业经营分析师,SOP,培训绩效,绩效目标制定流程,INTERNAL_DERIVED,
SOP026,SOP026_培训绩效_中期绩效回顾流程.md,A08,培训绩效与员工发展助手,A02_AI项目经理;A08_培训绩效与员工发展助手,SOP,培训绩效,中期绩效回顾流程,INTERNAL_DERIVED,
SOP027,SOP027_培训绩效_绩效评价与反馈流程.md,A08,培训绩效与员工发展助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手;A12_企业经营分析师,SOP,培训绩效,绩效评价与反馈流程,INTERNAL_DERIVED,
SOP028,SOP028_培训绩效_绩效改进计划流程.md,A08,培训绩效与员工发展助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,SOP,培训绩效,绩效改进计划流程,INTERNAL_DERIVED,
SOP029,SOP029_招投标_招标文件审查流程.md,A10,招投标审查官,A01_需求洞察与方案顾问;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,SOP,招投标,招标文件审查流程,INTERNAL_DERIVED,
SOP030,SOP030_招投标_投标文件审查流程.md,A10,招投标审查官,A01_需求洞察与方案顾问;A10_招投标审查官;A11_合同与履约风控官,SOP,招投标,投标文件审查流程,INTERNAL_DERIVED,
FAQ001,FAQ001_人力资源_请假与出勤常见问题.md,A07,AI招聘与人才助手,A03_企业知识管家;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,FAQ_RULE,人力资源,请假与出勤常见问题,INTERNAL_DERIVED,
FAQ002,FAQ002_招聘_招聘面试评价常见问题.md,A07,AI招聘与人才助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,FAQ_RULE,招聘,招聘面试评价常见问题,INTERNAL_DERIVED,
FAQ003,FAQ003_培训绩效_绩效目标设定常见问题.md,A08,培训绩效与员工发展助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手;A12_企业经营分析师,FAQ_RULE,培训绩效,绩效目标设定常见问题,INTERNAL_DERIVED,
FAQ004,FAQ004_项目管理_项目延期处理规则.md,A02,AI项目经理,A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,FAQ_RULE,项目管理,项目延期处理规则,INTERNAL_DERIVED,
FAQ005,FAQ005_会议协同_会议决策与待办常见问题.md,A04,智能会议协同官,A02_AI项目经理;A04_智能会议协同官;A05_企业文档创作官,FAQ_RULE,会议协同,会议决策与待办常见问题,INTERNAL_DERIVED,
FAQ006,FAQ006_公文规范_公文格式快速检查规则.md,A06,文档规范与排版官,A05_企业文档创作官;A06_文档规范与排版官,FAQ_RULE,公文规范,公文格式快速检查规则,INTERNAL_DERIVED,
FAQ007,FAQ007_采购_采购阈值适用问答.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,FAQ_RULE,采购,采购阈值适用问答,INTERNAL_DERIVED,
FAQ008,FAQ008_供应商_供应商准入问答.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,FAQ_RULE,供应商,供应商准入问答,INTERNAL_DERIVED,
FAQ009,FAQ009_招投标_招投标完整性资格商务技术评分与风险检查规则.md,A10,招投标审查官,A01_需求洞察与方案顾问;A10_招投标审查官;A11_合同与履约风控官,FAQ_RULE,招投标,招投标完整性资格商务技术评分与风险检查规则,INTERNAL_DERIVED,
FAQ010,FAQ010_合同履约_合同付款条件检查规则.md,A11,合同与履约风控官,A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,FAQ_RULE,合同履约,合同付款条件检查规则,INTERNAL_DERIVED,
FAQ011,FAQ011_经营分析_项目成本偏差问答.md,A12,企业经营分析师,A02_AI项目经理;A11_合同与履约风控官;A12_企业经营分析师,FAQ_RULE,经营分析,项目成本偏差问答,INTERNAL_DERIVED,
FAQ012,FAQ012_信息安全数据治理_敏感数据使用问答.md,A03,企业知识管家,A03_企业知识管家;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,FAQ_RULE,信息安全数据治理,敏感数据使用问答,INTERNAL_DERIVED,
ROLE001,ROLE001_项目管理_项目经理.md,A02,AI项目经理,A02_AI项目经理,ROLE,项目管理,项目经理,SYNTHETIC_DERIVED,
ROLE002,ROLE002_项目管理_解决方案顾问.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问,ROLE,项目管理,解决方案顾问,SYNTHETIC_DERIVED,
ROLE003,ROLE003_企业基础_产品经理.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问;A02_AI项目经理,ROLE,企业基础,产品经理,SYNTHETIC_DERIVED,
ROLE004,ROLE004_信息安全数据治理_技术与算法工程师.md,A02,AI项目经理,A01_需求洞察与方案顾问;A02_AI项目经理;A11_合同与履约风控官,ROLE,信息安全数据治理,技术与算法工程师,SYNTHETIC_DERIVED,
ROLE005,ROLE005_采购_采购专员.md,A09,智能采购顾问,A09_智能采购顾问,ROLE,采购,采购专员,SYNTHETIC_DERIVED,
ROLE006,ROLE006_招聘_HRBP与招聘专员.md,A07,AI招聘与人才助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,ROLE,招聘,HRBP与招聘专员,SYNTHETIC_DERIVED,
ROLE007,ROLE007_财务_财务经理.md,A12,企业经营分析师,A02_AI项目经理;A12_企业经营分析师,ROLE,财务,财务经理,SYNTHETIC_DERIVED,
ROLE008,ROLE008_合同履约_法务风控经理.md,A11,合同与履约风控官,A10_招投标审查官;A11_合同与履约风控官,ROLE,合同履约,法务风控经理,SYNTHETIC_DERIVED,
ROLE009,ROLE009_会议协同_综合行政专员.md,A04,智能会议协同官,A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官;A06_文档规范与排版官,ROLE,会议协同,综合行政专员,SYNTHETIC_DERIVED,
ROLE010,ROLE010_项目管理_项目成员.md,A02,AI项目经理,A02_AI项目经理;A04_智能会议协同官;A12_企业经营分析师,ROLE,项目管理,项目成员,SYNTHETIC_DERIVED,
P001_01,P001_01_客户需求说明.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问;A02_AI项目经理;A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官;A06_文档规范与排版官;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-客户需求说明,SYNTHETIC,P001
P001_02,P001_02_需求调研记录.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问;A02_AI项目经理;A03_企业知识管家;A04_智能会议协同官;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-需求调研记录,SYNTHETIC,P001
P001_03,P001_03_需求分析报告.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问;A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-需求分析报告,SYNTHETIC,P001
P001_04,P001_04_解决方案.md,A01,需求洞察与方案顾问,A01_需求洞察与方案顾问;A02_AI项目经理;A05_企业文档创作官;A10_招投标审查官;A11_合同与履约风控官,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-解决方案,SYNTHETIC,P001
P001_05,P001_05_报价说明.md,A12,企业经营分析师,A01_需求洞察与方案顾问;A02_AI项目经理;A09_智能采购顾问;A12_企业经营分析师,PROJECT_CASE,财务,智慧园区 AI 数字人服务平台-报价说明,SYNTHETIC,P001
P001_06,P001_06_项目立项申请.md,A02,AI项目经理,A02_AI项目经理;A03_企业知识管家;A12_企业经营分析师,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-项目立项申请,SYNTHETIC,P001
P001_07,P001_07_WBS与里程碑计划.md,A02,AI项目经理,A02_AI项目经理;A12_企业经营分析师,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-WBS与里程碑计划,SYNTHETIC,P001
P001_08,P001_08_项目启动会材料.md,A04,智能会议协同官,A02_AI项目经理;A04_智能会议协同官;A05_企业文档创作官,PROJECT_CASE,会议协同,智慧园区 AI 数字人服务平台-项目启动会材料,SYNTHETIC,P001
P001_09,P001_09_人员配置计划.md,A07,AI招聘与人才助手,A02_AI项目经理;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-人员配置计划,SYNTHETIC,P001
P001_10,P001_10_招聘需求.md,A07,AI招聘与人才助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,PROJECT_CASE,招聘,智慧园区 AI 数字人服务平台-招聘需求,SYNTHETIC,P001
P001_11,P001_11_采购申请.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,PROJECT_CASE,采购,智慧园区 AI 数字人服务平台-采购申请,SYNTHETIC,P001
P001_12,P001_12_采购需求规格.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官,PROJECT_CASE,采购,智慧园区 AI 数字人服务平台-采购需求规格,SYNTHETIC,P001
P001_13,P001_13_供应商比选记录.md,A09,智能采购顾问,A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,PROJECT_CASE,供应商,智慧园区 AI 数字人服务平台-供应商比选记录,SYNTHETIC,P001
P001_14,P001_14_招投标材料与审查计划.md,A10,招投标审查官,A01_需求洞察与方案顾问;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官,PROJECT_CASE,招投标,智慧园区 AI 数字人服务平台-招投标材料与审查计划,SYNTHETIC,P001
P001_15,P001_15_合同审核意见.md,A11,合同与履约风控官,A10_招投标审查官;A11_合同与履约风控官,PROJECT_CASE,合同履约,智慧园区 AI 数字人服务平台-合同审核意见,SYNTHETIC,P001
P001_16,P001_16_项目合同摘要.md,A11,合同与履约风控官,A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,PROJECT_CASE,合同履约,智慧园区 AI 数字人服务平台-项目合同摘要,SYNTHETIC,P001
P001_17,P001_17_项目周报汇总.md,A02,AI项目经理,A02_AI项目经理;A04_智能会议协同官;A12_企业经营分析师,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-项目周报汇总,SYNTHETIC,P001
P001_18,P001_18_风险台账.md,A02,AI项目经理,A02_AI项目经理;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,PROJECT_CASE,项目管理,智慧园区 AI 数字人服务平台-风险台账,SYNTHETIC,P001
