lineage_id,knowledge_id,source_id,relationship,claim_scope,transformation,confidence,review_status,notes
LIN-034,POL010,SRC-LAW-008,partial_external_source,公文管理办法的档案法部分依据,derived_with_internal_parameters,MEDIUM,VERIFIED,公文归档向档案的衔接依赖本法第 13-14 条
LIN-035,REF010,SRC-LAW-009,direct_external_source,会计核算与内部监督的强制性规则,to_be_extracted,HIGH,VERIFIED,Stage 2 真实访问核验；mof.gov.cn 财政部会计司原文 2024 修正版
LIN-036,POL015,SRC-LAW-009,direct_external_source,预算管理制度的会计法上位依据,derived_with_internal_parameters,HIGH,VERIFIED,第 11 条会计年度、第 25 条内控整合、第 21 条财务报告签章是 POL015 的核心依据
LIN-037,POL016,SRC-LAW-009,direct_external_source,项目成本管理制度的会计法上位依据,derived_with_internal_parameters,HIGH,VERIFIED,第 18 条会计处理方法一致性、第 35 条出纳与稽核分离、第 38 条会计人员禁业红线是 POL016 的核心依据
LIN-038,REF011,SRC-STD-001,conditional_external_source,等保 2.0 五级保护能力要求 + 10 类安全域,to_be_extracted,HIGH,VERIFIED,Stage 2 真实访问核验；openstd.samr.gov.cn 国家标准全文公开系统；GB/T 22239-2019 替代 2008 版
LIN-039,POL017,SRC-STD-001,conditional_external_source,信息安全管理制度中等级保护 2.0 部分,derived_with_internal_parameters,HIGH,VERIFIED,与《网络安全法》第 21 条等级保护制度结合；星澜按第三级要求开展等保建设与年度测评
LIN-040,REF012,SRC-CORP-002,analogical_external_source,项目管理实践参考（PMBOK 第 7 版原则 + 绩效域框架）,to_be_extracted,HIGH,VERIFIED,Stage 2 真实访问核验；china.pmi.org PMI 中国官方；PMBOK 第 7 版原则导向
LIN-041,POL005,SRC-CORP-002,analogical_external_source,项目管理制度的 PMBOK 上位依据,derived_with_internal_parameters,HIGH,VERIFIED,8 大绩效域可作为 POL005 章节骨架
LIN-042,POL006,SRC-CORP-002,analogical_external_source,项目立项管理办法的 PMBOK 依据,derived_with_internal_parameters,MEDIUM,VERIFIED,干系人绩效域 + 规划绩效域为立项管理提供方法论
LIN-043,POL007,SRC-CORP-002,analogical_external_source,项目变更管理办法的 PMBOK 依据,derived_with_internal_parameters,MEDIUM,VERIFIED,项目工作绩效域 + 不确定性绩效域为变更管理提供方法论
LIN-044,REF014,SRC-CORP-001,analogical_external_source,公开企业内部控制评价报告样例（中国石化 2024）,to_be_extracted,MEDIUM,VERIFIED,Stage 2 真实访问核验；cninfo.com.cn 巨潮资讯网深交所信披平台
LIN-045,POL015,SRC-CORP-001,analogical_external_source,预算管理制度中内部控制整合部分,derived_with_internal_parameters,MEDIUM,VERIFIED,5 大内控域（控制环境/风险评估/控制活动/信息沟通/内部监督）的上市公开实践
LIN-046,REF015,SRC-ROLE-001,analogical_external_source,AI 工程师岗位公开 JD 样例（字节跳动 2027 届校招）,to_be_extracted,MEDIUM,VERIFIED,Stage 2 真实访问核验；jobs.bytedance.com 字节跳动官方
LIN-047,POL002,SRC-ROLE-001,analogical_external_source,招聘管理制度的岗位 JD 模板库,derived_with_internal_parameters,MEDIUM,VERIFIED,4 类 AI 岗位 JD 结构（算法/全栈/Agent/产品经理）可作为招聘 SOP 模板
LIN-048,POL003,SRC-ROLE-001,analogical_external_source,培训管理制度的市场需求对齐依据,derived_with_internal_parameters,MEDIUM,VERIFIED,JD 技能要求（LLM/RAG/Agent/全栈）直接对接培训课程设计
LIN-049,REF018,SRC-CASE-001,analogical_external_source,公开政企 AI/知识库项目案例（中科院沈阳自动化所 80 万元 8 个月）,to_be_extracted,MEDIUM,VERIFIED,Stage 2 真实访问核验；ccgp.gov.cn 中国政府采购网
LIN-050,REF018,SRC-CASE-002,analogical_external_source,公开政企 AI/智慧园区项目案例（福建省 AI 产业园大模型赋能）,to_be_extracted,MEDIUM,VERIFIED,Stage 2 真实访问核验；ggzyjd.fj.gov.cn 福建省公共资源交易电子行政监督平台
LIN-051,POL005,SRC-CASE-002,analogical_external_source,项目管理制度的智慧园区 AI 项目经验参考（与 P001 直接对应）,to_be_extracted,HIGH,VERIFIED,9 项子系统模块（管理平台/Agent/数字孪生/巡查系统等）作为 P001 SOP 模板
LIN-052,POL011,SRC-CASE-002,analogical_external_source,采购管理制度的政府采购投标案例,derived_with_internal_parameters,MEDIUM,VERIFIED,作为参与政府采购投标的需求响应模板
LIN-053,REF013,SRC-BID-001,analogical_external_source,政府采购需求确定和实施计划的公开参考,to_be_extracted,HIGH,VERIFIED,Stage 2.1 财政部原文核验；星澜内部采购仅类比
LIN-054,REF016,SRC-STD-002,analogical_external_source,会议知识管理国家标准参考,to_be_extracted,HIGH,VERIFIED,Stage 2.1 现行标准核验；推荐性标准
LIN-055,REF017,SRC-STD-003,analogical_external_source,知识管理体系国家标准参考,to_be_extracted,HIGH,VERIFIED,Stage 2.1 现行标准核验；推荐性标准
LIN-058,POL008,SRC-CORP-005,analogical_external_source,会议管理制度的企业办公会实践（议题征集/纪要签发/督办回报闭环）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 深交所披露 PDF 核验；总经理办公会全流程结构可作 POL008 章节骨架；参数星澜化
LIN-059,POL004,SRC-CORP-005,analogical_external_source,绩效评价与激励约束章节（总经理绩效由董事会组织）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 核验；仅覆盖高管绩效部分；与 SRC-CORP-007 配套使用
LIN-060,POL015,SRC-CORP-006,analogical_external_source,全面预算管理制度的三级组织/编制/执行/调整/考核闭环,derived_with_internal_parameters,MEDIUM,VERIFIED,Stage 2.2 巨潮 PDF 核验；软件上市公司预算实践；零基+滚动方法可借鉴
LIN-061,POL016,SRC-CORP-006,analogical_external_source,项目预算口径（进度/收入/成本/回款）与成本分类,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 核验；项目管理成本/实施成本/采购成本分类结构可作 POL016 归集口径参考
LIN-062,POL004,SRC-CORP-007,analogical_external_source,经理层任期制契约化考核实践（年度+任期双周期/责任书/申诉/结果应用）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 上交所 PDF 核验；国企党委前置程序不适用于星澜；考核周期与责任书结构可借鉴
LIN-063,POL014,SRC-CORP-008,analogical_external_source,合同全生命周期内控制度（会审/订立/履行/变更/验收/档案/纠纷）,derived_with_internal_parameters,MEDIUM,VERIFIED,Stage 2.2 深交所 PDF 核验；三方会审与四维审核（经济性/可行性/严密性/合法性）可作 POL014 流程骨架；金额阈值星澜化
LIN-064,POL012,SRC-CORP-009,analogical_external_source,供应商准入/动态考核/年度梳理/分级淘汰全流程实践,derived_with_internal_parameters,MEDIUM,VERIFIED,Stage 2.2 公司官网 PDF 核验；七类考核异常清单与惩罚五级结构可作 POL012 条款骨架；评分权重星澜化
LIN-065,POL011,SRC-CORP-009,analogical_external_source,供应商库管理（归口管理/资格审查准入/两家以上备份原则）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 核验；采购制度中供应商库章节参考
LIN-066,POL005,SRC-CORP-010,analogical_external_source,投资决策与项目管理制度的阶段划分与决策原则,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 巨潮 PDF 核验；立项-决策-实施-监督-验收框架补充 PMBOK 之外的本土企业实践
LIN-067,POL006,SRC-CORP-010,analogical_external_source,项目立项实践（立项条件/材料清单/分级审批矩阵）,derived_with_internal_parameters,MEDIUM,VERIFIED,Stage 2.2 核验；项目建议书+可研报告递进结构与分级审批可借鉴；星澜阈值另行设定
LIN-068,POL007,SRC-CORP-010,analogical_external_source,项目变更须重新履行决策程序的实践结构,to_be_extracted,LOW,VERIFIED,Stage 2.2 核验；变更部分内容有限；主要与 SRC-CORP-003 变更内控互补
LIN-069,POL009,SRC-CORP-011,analogical_external_source,企业保密与档案管理实践（审批备案/协议/留痕/自查）,to_be_extracted,LOW,VERIFIED,Stage 2.2 巨潮 PDF 核验；境外上市窄场景类比；密级文件审批流转结构可参考
LIN-070,POL018,SRC-CORP-011,analogical_external_source,保密管理中协议签订与泄露即报机制,to_be_extracted,LOW,VERIFIED,Stage 2.2 核验；与 SRC-LAW-011 商业秘密规定配套
LIN-071,REF018,SRC-CASE-013,analogical_external_source,大模型私有化部署项目招标-中标完整链（宁波海洋中心）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 ccgp 公告页核验；与 SRC-CASE-003 同项目构成两阶段文件链
LIN-072,POL014,SRC-CASE-013,analogical_external_source,建设期+三年运维的合同结构与服务条款参考,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 核验；中标公告中的服务时间条款可作履约合同模板素材
LIN-073,REF018,SRC-CASE-014,analogical_external_source,政务大模型集中统建项目招标-评审-中标完整链（岳阳）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 ccgp 公告页核验；与 SRC-CASE-007 同项目；含三家投标人完整评审表
LIN-074,POL013,SRC-CASE-014,analogical_external_source,真实评审过程样例（资格/符合性/报价/评分/排名）,to_be_extracted,HIGH,VERIFIED,Stage 2.2 核验；招投标审查场景的直接样例数据；不将个案评审规则误作强制规则
LIN-075,REF018,SRC-CASE-015,analogical_external_source,大模型智算软硬件采购案例（农业农村部信息中心）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 中央政府采购网核验；含 GPU 服务器设备级明细与预算偏差样例
LIN-076,POL015,SRC-CASE-015,analogical_external_source,预算 342 万 vs 成交 340.2 万的预算偏差控制样例,to_be_extracted,LOW,VERIFIED,Stage 2.2 核验；仅作偏差管理案例素材
LIN-077,REF018,SRC-CASE-016,analogical_external_source,多模态数字人平台采购文件+成交公告完整链（宿迁）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 ccgp 公告页核验；附件公开采购文件可直接研究磋商文件结构；P001 方向
LIN-078,POL005,SRC-CASE-016,analogical_external_source,AI 数字人平台项目价格与三年服务期结构（与 P001 对应）,to_be_extracted,HIGH,VERIFIED,Stage 2.2 核验；P001 智慧服务/数字人方向直接参考案例
LIN-079,REF018,SRC-CASE-017,analogical_external_source,AI 能力中心采购文件集+评审表+成交公告三阶段链（四川信息职院）,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 ccgp 公告页核验；附件含采购文件集与评审情况表；P002 方向材料最完整案例
LIN-080,POL005,SRC-CASE-017,analogical_external_source,知识库+RAG+智能体平台需求与量化验收标准（与 P002 对应）,to_be_extracted,HIGH,VERIFIED,Stage 2.2 核验；20 智能体/20 知识库/90 日/SLA 条款可作 P002 验收模板
LIN-081,POL017,SRC-CASE-017,analogical_external_source,等保 2.0 二级测评作为 AI 平台合同交付条件的实操样例,to_be_extracted,MEDIUM,VERIFIED,Stage 2.2 核验；与 SRC-STD-001 等保标准配套印证落地方式
LIN-082,ROLE001,SRC-ROLE-004,analogical_role_reference,项目经理的方案协同与大型项目经验能力参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-083,ROLE002,SRC-ROLE-004,analogical_role_reference,解决方案设计、客户拓展和项目支撑能力参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-084,ROLE004,SRC-ROLE-001,analogical_role_reference,LLM/RAG/Agent/向量检索与评测能力参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-085,ROLE004,SRC-ROLE-002,analogical_role_reference,服务端工程、微服务与云原生能力参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-086,ROLE004,SRC-ROLE-003,analogical_role_reference,AI训练推理与大模型工程化能力参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-087,ROLE005,SRC-ROLE-005,analogical_role_reference,供应商选择、合同与绩效管理能力参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-088,ROLE006,SRC-ROLE-008,analogical_role_reference,人力资源岗位类别公开入口参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-089,ROLE006,SRC-ROLE-009,analogical_role_reference,HRBP真实岗位场景参照，不推断未展示职责,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-090,ROLE006,SRC-ROLE-010,analogical_role_reference,集团职能HRBP真实岗位场景参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
LIN-091,ROLE008,SRC-ROLE-006,analogical_role_reference,合同、交易风险、争议与合规能力参照,curated_capability_mapping,MEDIUM,VERIFIED,Stage 3.1 仅作行业能力参考；岗位职责、权限和评价仍由星澜组织模型定义
