event_id,project_id,date,event_type,title,actors,trigger,decision,impact_scope,impact_schedule,impact_cost,related_case_ids,related_risk_id,related_change_id,status
EVT-P002-008,P002,2024-04-19,需求,银行多个业务部门持续补充需求基线无法冻结,周骁;陈恪;客户各业务部门,行内部门对知识域范围意见不一,延长需求澄清周期,需求范围蔓延,需求基线延期,无,P002_02;P002_03,,,closed
EVT-P002-009,P002,2024-05-10,需求,需求基线确认延期25天,周骁;陈恪,多轮澄清后达成一致,冻结基线v1.0,范围基线锁定,延期25天,无,P002_03,,,closed
EVT-P002-010,P002,2024-05-20,变更,变更P002-CH01客户追加三类知识域,陈恪;周骁,行内要求覆盖信贷合规票据知识域,影响评估增加两周工期与约18万元工作量,范围扩大,工期增加2周,工作量增加约18万元客户不同意增费,P002_25,,P002-CH01,closed
EVT-P002-011,P002,2024-05-31,会议,变更专题会MTG-P002-04决定范围先行费用挂起,周骁;市场负责人;陈恪,CH01费用分歧,先行实施新增知识域费用打包待商务谈判,范围实施与费用脱钩,工期按评估增加,18万元费用挂起,P002_19;P002_31,,P002-CH01,closed
EVT-P002-012,P002,2024-06-14,人员,提交人员不足资源申请2名知识工程师,周骁;HRBP,R01持续未缓解,申请加人并同步招聘,人员缺口待补,实施排期承压,人力成本上升,P002_10;P002_28,P002-R01,,closed
EVT-P002-013,P002,2024-07-08,变更,变更P002-CH02权限模型调整,陈恪;周骁,行内组织权限映射规则变化,批准变更并安排返工,权限体系返工,返工约3周影响测试准备,返工成本内部消化,P002_19,,P002-CH02,closed
EVT-P002-014,P002,2024-07-15,风险,风险P002-R01升级为L3实际在岗7人低于编制9人,周骁;PMO,到岗进度不及预期,升级风险并纳入周报跟踪,关键路径人力不足,试运行里程碑承压,成本偏差扩大,P002_18;P002_26,P002-R01,,closed
EVT-P002-015,P002,2024-07-22,采购,知识库测试环境资源采购18万元三家比选,采购柯岚;周骁,测试环境搭建需要,按比选流程执行但规格随变更调整,测试环境到位时间推后,较计划晚约1个月,18万元,P002_11;P002_12;P002_13,,,closed
EVT-P002-016,P002,2024-09-02,采购,测试环境资源到货延期,柯岚;技术负责人梁拓,供应商交付与规格调整,到货并投入测试准备,测试准备压缩,无,18万元,P002_11,,,closed
EVT-P002-017,P002,2024-09-15,变更,变更P002-CH03回答引用格式变更,陈恪;周骁;知识工程负责人孟婕,行内合规要求调整引用格式,批准变更,知识版本v1.3与提示模板冲突,试运行准备受阻,返工成本增加,P002_19,,P002-CH03,closed
EVT-P002-018,P002,2024-09-20,风险,风险P002-R02知识版本冲突显性化回答口径不一致,孟婕;周骁,CH03引发版本与模板冲突,启动SOP020版本冻结与冲突处置,试运行前回答质量风险,试运行无法按期启动,处置成本增加,P002_27,P002-R02,P002-CH03,closed
EVT-P002-019,P002,2024-09-30,里程碑,知识库试运行里程碑错过,周骁,人员缺口与版本冲突叠加,向PMO报告里程碑偏离,关键里程碑失守,试运行推迟,无,P002_17;P002_26,P002-R01;P002-R02,,closed
EVT-P002-020,P002,2024-10-10,风险,项目延期风险升级至PMO与总经理办公会,周骁;PMO负责人;总经理,里程碑错过触发升级机制,启动专项纠偏,项目进入重点监控,无,无,P002_26,P002-R01,,closed
EVT-P002-021,P002,2024-10-17,会议,项目纠偏会议MTG-P002-09确立基线v2.0,总经理办公会;PMO;周骁;陈恪,风险升级后专项纠偏,重排基线试运行2025-01-12终验2025-03-15增派2人变更费用打包谈判,全项目基线重置,总工期延至2025-03-15,预计成本上升,P002_31,P002-R01,P002-CH01,closed
EVT-P002-022,P002,2024-11-05,经营,财务中心发出成本超支预警预测255万元,财务宋仪;周骁,月度成本核算,发布预警并要求月度跟踪,成本偏差显性化,无,预测超支35万元,P002_29,,,closed
EVT-P002-023,P002,2025-01-12,里程碑,知识库试运行启动,项目组;客户业务部门,纠偏后基线执行,试运行开始,无,较原计划延期104天,无,P002_17,,,closed
EVT-P002-024,P002,2025-01-20,变更,变更P002-CH04验收样本范围由200条扩大至500条,陈恪;周骁,行内验收组要求提高样本覆盖,批准变更终验延至3月,验收范围扩大,终验延期至2025年3月,验收工作量增加,P002_19;P002_20,,P002-CH04,closed
EVT-P002-025,P002,2025-02-14,付款,试运行30%付款申请被客户暂缓引发争议,财务宋仪;陈恪,合同试运行付款证据定义不清,记录争议并由法务介入,回款受阻,无,84万元付款暂缓,P002_30,P002-R03,,closed
EVT-P002-026,P002,2025-02-21,合同,法务协调形成付款证据补充确认,法务谭肃;陈恪;财务宋仪,付款争议协调,确认试运行款与终验款证据口径部分挂起,争议降级单独跟踪,无,28万元尾款挂起,P002_30,P002-R03,,closed
EVT-P002-027,P002,2025-03-10,验收,验收测试执行发现2项整改项,周骁;客户验收组,按扩大后样本测试,限期整改2项,验收范围,无,无,P002_20;P002_21,,,closed
EVT-P002-028,P002,2025-03-15,验收,终验通过附条件整改后通过,客户验收组;周骁,整改完成复核,签署验收报告结果passed_with_conditions,项目交付完成,延期105天,收入确认252万元,P002_21,,,closed
EVT-P002-029,P002,2025-03-28,结项,项目结项报告批准,PMO;周骁,验收完成,结项并跟踪尾款争议,无,无,实际成本265万元超支45万元,P002_22,,,closed
EVT-P002-030,P002,2025-04-02,复盘,项目复盘输出四条教训,周骁;PMO;财务宋仪;法务谭肃,结项复盘要求,形成复盘结论,组织级经验沉淀,无,无,P002_23;P002_24,,,closed
EVT-P003-001,P003,2024-02-26,招投标,能源客户发布智能巡检平台公开招标公告,客户运维检修部赵劼;市场负责人,客户巡检智能化规划,星澜决定参与公开招标,无,无,无,P003_14,,,closed
EVT-P003-002,P003,2024-03-18,招投标,投标文件提交含算法指标承诺,解决方案顾问;算法负责人罗衍,招标截止,提交技术与商务标,算法指标承诺进入合同附件,无,无,P003_14,,,closed
EVT-P003-003,P003,2024-04-02,招投标,收到中标通知580万元,市场负责人,评标结果,进入合同签订,合同金额锁定580万元,无,无,P003_16,,,closed
EVT-P003-004,P003,2024-04-15,合同,合同P003-C01签署580万元付款20/30/30/20,总经理;客户赵劼;法务谭肃,中标后合同审查完成,正式签署,合同基线确立,无,无,P003_15;P003_16,,,closed
EVT-P003-005,P003,2024-04-22,立项,项目立项批准预算490万元编制18人,PMO;财务宋仪;项目经理顾川,合同签署,批准立项,项目基线确立,计划2024-05-01至2025-04-30,预算490万元,P003_06,,,closed
EVT-P003-006,P003,2024-05-08,启动,项目启动会召开,顾川;项目组;客户赵劼,立项完成,确认章程与安全要求,无,实际启动较计划晚7天,无,P003_08,,,closed
EVT-P003-007,P003,2024-05-13,安全,数据安全评审启动识别风险P003-R02敏感现场信息L4,数据治理负责人纪楠;法务谭肃,现场视频含人脸与设备铭牌,启动专项安全评审,数据使用范围受约束,数据治理周期增加,脱敏与本地化成本,P003_27,P003-R02,,closed
EVT-P003-008,P003,2024-05-15,采购,GPU服务器采购申请PR-P003-01金额128万元,顾川;采购柯岚;罗衍,算法训练算力需求,按超100万专项审批执行识别风险P003-R03供货周期L2,算力到位时间影响训练计划,供货周期10周起,128万元,P003_11;P003_25,P003-R03,,closed
EVT-P003-009,P003,2024-05-24,安全,数据安全评审结论数据分级脱敏与本地化训练,纪楠;法务谭肃;客户信息安全部门,专项评审完成,批准分级脱敏本地化方案,数据治理方案基线,无,无,P003_27,P003-R02,,closed
EVT-P003-010,P003,2024-06-11,采购,GPU采购专项审批通过并完成签约,总经理办公会;柯岚,采购申请审批,签约并锁定供货承诺10周,无,无,128万元,P003_11;P003_13,,,closed
EVT-P003-011,P003,2024-06-20,采购,视频采集与边缘计算设备采购PR-P003-02金额76万元竞争性采购,柯岚;顾川,现场部署需要,竞争性采购执行,无,无,76万元,P003_11;P003_12;P003_13,,,closed
EVT-P003-012,P003,2024-06-25,风险,识别风险P003-R01视频样本分布不均夜间雨雾场景少L3,罗衍;纪楠,样本盘点发现场景覆盖不足,登记风险并制定补采计划,算法指标存在不确定性,补采增加数据周期,补采成本,P003_28;P003_18,P003-R01,,closed
EVT-P003-013,P003,2024-07-15,风险,GPU供货延期预警10周延至14周启动云GPU过渡,柯岚;罗衍;顾川,供应商通知产能紧张,租用云GPU过渡追加9.6万元预算内吸收,训练计划重排,关键路径缓冲消耗,9.6万元,P003_17;P003_18,P003-R03,,closed
EVT-P003-014,P003,2024-08-20,里程碑,视频数据治理方案确认延期20天,纪楠;客户赵劼,脱敏规则与样本补采多轮确认,方案基线确认,数据治理基线,延期20天,无,P003_28,,,closed
EVT-P003-015,P003,2024-09-02,采购,GPU服务器到货并投入训练环境,柯岚;罗衍,供应商交付,到货验收合格,训练环境就绪,较计划晚约4周,128万元,P003_11;P003_17,,,closed
EVT-P003-016,P003,2024-09-30,算法,第一轮训练结果夜间雨雾场景召回率低于指标,罗衍,训练评测,判定现有单模型路线不足以达标,算法路线存疑,指标风险上升,追加训练成本,P003_31;P003_18,P003-R01,,closed
EVT-P003-017,P003,2024-10-14,变更,变更P003-CH01由单模型改为检测与跟踪组合方案,罗衍;顾川;客户技术代表,第一轮训练未达标,批准技术方案变更增加算法开发与GPU测试周期约6周,技术路线调整,算法周期增加约6周,开发测试成本增加,P003_29,P003-R01,P003-CH01,closed
EVT-P003-018,P003,2024-11-11,部署,现场部署遇变电站网络隔离与边缘算力不足,顾川;实施组;客户运维,现场环境约束,推理优化与边缘固件调整,部署方案调整,部署周期增加,优化成本,P003_17;P003_18,,,closed
EVT-P003-019,P003,2024-12-16,风险,风险P003-R03关闭训练计划追平,罗衍;顾川,GPU到位且云过渡有效,关闭风险,无,无,无,P003_18,P003-R03,,closed
EVT-P003-020,P003,2025-01-15,评审,算法指标专项评审未通过整体达标但场景差异大,客户验收组;罗衍;顾川,计划评审节点,判定验收指标口径存在理解差异风险P003-R04显性化,验收标准争议,评审推迟,无,P003_26,P003-R04,,closed
EVT-P003-021,P003,2025-02-12,评审,专项复审通过变更P003-CH02验收指标按6类场景分层,客户验收组;罗衍;法务谭肃,R04争议协调,批准CH02并确认分层样本阈值与复测方法,验收基线重置,里程碑调整至2025-02-12,复测工作量增加,P003_26;P003_29,P003-R04,P003-CH02,closed
EVT-P003-022,P003,2025-03-10,测试,算法测试专项报告完成场景化复测方法与结果,罗衍;客户技术代表,CH02后按新口径测试,形成专项报告,验收证据就绪,无,无,P003_31,,,closed
EVT-P003-023,P003,2025-04-30,里程碑,终验计划节点错过,顾川,指标争议与复测安排未闭环,向客户与PMO报告,终验推迟,延期开始累计,无,P003_17;P003_26,P003-R04,,closed
EVT-P003-024,P003,2025-05-09,会议,验收指标争议纪要确认分层指标与复测安排,客户验收组;顾川;法务谭肃,终验争议专项协调,签署争议纪要并约定6月复测,验收口径闭环,终验定于6月中旬,无,P003_30,P003-R04,,closed
EVT-P003-025,P003,2025-06-10,验收,按场景分层复测启动,客户验收组;罗衍,争议纪要约定,执行复测,无,无,复测成本,P003_20;P003_31,,,closed
EVT-P003-026,P003,2025-06-20,验收,终验通过附条件争议纪要归档,客户验收组;顾川,复测结果满足分层指标,签署验收报告passed_with_conditions,项目交付完成,延期51天,收入确认580万元,P003_21,,,closed
EVT-P003-027,P003,2025-06-27,付款,终验款到账全部回款完成,财务宋仪,终验通过,完成回款580万元,无,无,回款580万元,P003_16;P003_23,,,closed
EVT-P003-028,P003,2025-07-04,复盘,结项与复盘完成输出四条教训,顾川;PMO;财务宋仪,结项复盘要求,结项并形成复盘结论,组织级经验沉淀,无,实际成本486万元节约4万元,P003_22;P003_23;P003_24,,,closed
