knowledge_id,filename,title,domain,knowledge_type,priority,package,served_agents,business_chain_stage,source_strategy,source_type,required_source_categories,minimum_source_count,synthetic_fields,source_requirement,parent_knowledge,depends_on,dependency_rationale,source_authority,normative_force,applicability,status,notes
POL002,POL002_企业制度_招聘管理制度.md,招聘管理制度,招聘,POLICY,P1,PACKAGE-01,A03;A07;A08,B06;B07,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,劳动相关官方规则;个人信息保护规则;企业招聘实践,3,招聘审批;面试轮次;录用权限,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL001;REF001;REF002;REF015,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL003,POL003_企业制度_培训管理制度.md,培训管理制度,培训绩效,POLICY,P1,PACKAGE-01,A03;A07;A08,B07;B08,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,劳动与职业发展相关规则;企业培训实践;培训案例,3,培训预算;课程分级;审批角色,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL001;REF015;KB003,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL004,POL004_企业制度_绩效管理办法.md,绩效管理办法,培训绩效,POLICY,P1,PACKAGE-01,A07;A08;A12,B06;B08;B17,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,劳动相关官方规则;企业绩效实践;绩效改进案例,3,绩效周期;评分口径;审批与申诉链,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL001;REF015;KB003,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL005,POL005_企业制度_项目管理制度.md,项目管理制度,项目管理,POLICY,P1,PACKAGE-01,A01;A02;A03;A12,B04;B05;B12;B16,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,项目管理标准或指南;企业项目实践;政企项目案例,3,项目分级;治理角色;里程碑阈值,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB004;KB005;REF012,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL006,POL006_企业制度_项目立项管理办法.md,项目立项管理办法,项目管理,POLICY,P1,PACKAGE-01,A01;A02;A12,B03;B04,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,项目管理实践;企业投资或立项内控;公开项目案例,3,立项门槛;审批层级;材料清单,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL005;POL015;KB005,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL007,POL007_企业制度_项目变更管理办法.md,项目变更管理办法,项目管理,POLICY,P1,PACKAGE-01,A02;A10;A11;A12,B05;B12;B14;B15,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,项目变更实践;合同变更规则;变更争议案例,3,变更等级;审批时限;影响阈值,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL005;POL014;REF012,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL008,POL008_企业制度_会议管理制度.md,会议管理制度,会议协同,POLICY,P1,PACKAGE-01,A02;A03;A04;A05,B05;B13;B16,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,档案管理规则;企业会议实践;项目会议案例,3,会议分级;召集权限;归档时限,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB003;REF009;REF016,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL009,POL009_企业制度_文档管理制度.md,文档管理制度,企业文档,POLICY,P1,PACKAGE-01,A03;A04;A05;A06,B12;B16;B18,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,档案管理规则;知识管理实践;企业文档规范,3,文档分类;版本编号;审批发布链,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB006;KB008;REF009;REF017,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL010,POL010_企业制度_公文管理办法.md,公文管理办法,公文规范,POLICY,P1,PACKAGE-01,A03;A05;A06,B13;B18,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,公文与档案官方规则;公开企业公文实践;格式案例,3,公司版式;签发权限;模板编号,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL009;KB008;REF009,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL011,POL011_企业制度_采购管理制度.md,采购管理制度,采购,POLICY,P1,PACKAGE-01,A02;A09;A10;A11,B09;B10,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,官方采购或招投标规则;企业采购内控实践;信息化采购案例,3,采购金额阈值;审批层级;部门名称,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB005;REF005;REF013;REF014,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL012,POL012_企业制度_供应商管理制度.md,供应商管理制度,供应商,POLICY,P1,PACKAGE-01,A09;A10;A11;A12,B09;B10;B12,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,企业内控参考;供应商管理实践;供应商风险案例,3,准入评分;分级阈值;复评周期,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL011;REF014;REF018,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL013,POL013_企业制度_招投标管理制度.md,招投标管理制度,招投标,POLICY,P1,PACKAGE-01,A01;A09;A10;A11,B03;B10;B11,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,招标投标官方规则;电子招投标规则;公开招投标案例,3,内部职责;审查节点;风险分级,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB005;REF005;REF006;REF007,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL014,POL014_企业制度_合同管理制度.md,合同管理制度,合同履约,POLICY,P1,PACKAGE-01,A01;A02;A10;A11,B03;B10;B11;B12,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,民商事与合同官方规则;企业合同内控实践;合同争议案例,3,合同审批权限;付款节点;归档要求,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB005;REF008;REF014,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL015,POL015_企业制度_预算管理制度.md,预算管理制度,财务,POLICY,P1,PACKAGE-01,A02;A09;A11;A12,B04;B09;B11;B17,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,会计与预算规则;企业预算内控;项目预算案例,3,预算科目;审批阈值;滚动周期,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB005;REF010;REF014,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL016,POL016_企业制度_项目成本管理制度.md,项目成本管理制度,财务,POLICY,P1,PACKAGE-01,A02;A12,B05;B12;B16;B17,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,会计与成本规则;项目成本实践;成本偏差案例,3,成本口径;预警阈值;分摊规则,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL005;POL015;REF010,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL017,POL017_企业制度_信息安全管理制度.md,信息安全管理制度,信息安全数据治理,POLICY,P1,PACKAGE-01,A03;A07;A10;A11;A12,B10;B11;B12;B14,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,数据与个人信息官方规则;网络安全规则;信息安全标准实践,3,数据分级;授权角色;处置时限,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB007;REF002;REF003;REF004;REF011,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
POL018,POL018_企业制度_知识产权与保密管理制度.md,知识产权与保密管理制度,信息安全数据治理,POLICY,P1,PACKAGE-01,A03;A05;A10;A11,B03;B10;B11;B18,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,知识产权与合同官方规则;个人信息保护规则;企业保密实践,3,密级;授权范围;内部处置流程,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,POL014;POL017;REF002;REF008,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
SOP001,SOP001_项目管理_客户需求澄清流程.md,客户需求澄清流程,项目管理,SOP,P1,PACKAGE-01,A01;A02,B01;B02,INTERNAL_DERIVED from curated upstream rules,INTERNAL_DERIVED,,0,角色;审批节点;内部时限,内部流程；Stage 2 公共来源仅在适用时作为依据,POL005;REF012;KB011,POL005;REF012;KB011,需求澄清受项目治理、业务链和项目实践约束。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
SOP002,SOP002_项目管理_解决方案设计流程.md,解决方案设计流程,项目管理,SOP,P1,PACKAGE-01,A01;A02;A05,B02;B03,INTERNAL_DERIVED from curated upstream rules,INTERNAL_DERIVED,,0,角色;审批节点;内部时限,内部流程；Stage 2 公共来源仅在适用时作为依据,POL005;POL018;KB007,POL005;POL018;KB007,方案设计需遵循项目治理、保密与数据分级。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
SOP003,SOP003_项目管理_项目立项流程.md,项目立项流程,项目管理,SOP,P1,PACKAGE-01,A01;A02;A12,B03;B04,INTERNAL_DERIVED from curated upstream rules,INTERNAL_DERIVED,,0,角色;审批节点;内部时限,内部流程；Stage 2 公共来源仅在适用时作为依据,POL005;POL006;POL015;KB005,POL005;POL006;POL015;KB005,立项同时受项目制度、预算和审批权限约束。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
SOP004,SOP004_项目管理_WBS与里程碑编制流程.md,WBS与里程碑编制流程,项目管理,SOP,P1,PACKAGE-01,A02;A12,B04;B05,INTERNAL_DERIVED from curated upstream rules,INTERNAL_DERIVED,,0,角色;审批节点;内部时限,内部流程；Stage 2 公共来源仅在适用时作为依据,POL005;POL016;REF012,POL005;POL016;REF012,计划拆解需满足项目与成本管理要求。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
SOP005,SOP005_项目管理_项目资源配置流程.md,项目资源配置流程,项目管理,SOP,P1,PACKAGE-01,A02;A07;A08,B05;B06,INTERNAL_DERIVED from curated upstream rules,INTERNAL_DERIVED,,0,角色;审批节点;内部时限,内部流程；Stage 2 公共来源仅在适用时作为依据,POL005;POL001;POL004;KB003,POL005;POL001;POL004;KB003,资源配置受项目、人力、绩效与部门职责约束。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
