claim_id,knowledge_id,section,claim_summary,claim_type,evidence_ref,evidence_locator,verification_status,notes
CLM-0046,SOP009,可执行步骤,项目变更控制流程不得新增上游制度之外的规则,DERIVED,POL005;POL007;POL014;KB005,上游制度与本流程可执行步骤,VERIFIED,
CLM-0047,SOP010,可执行步骤,项目验收流程不得新增上游制度之外的规则,DERIVED,POL005;POL007;POL014;KB005,上游制度与本流程可执行步骤,VERIFIED,
CLM-0048,SOP011,可执行步骤,项目结项与复盘流程不得新增上游制度之外的规则,DERIVED,POL005;POL016;POL009;REF009,上游制度与本流程可执行步骤,VERIFIED,
CLM-0049,SOP012,可执行步骤,会议议程与纪要流程不得新增上游制度之外的规则,DERIVED,POL008;POL009;REF016,上游制度与本流程可执行步骤,VERIFIED,
CLM-0050,SOP013,可执行步骤,通知请示报告写作流程不得新增上游制度之外的规则,DERIVED,POL009;POL010;KB008,上游制度与本流程可执行步骤,VERIFIED,
CLM-0051,SOP014,可执行步骤,招聘需求到录用流程不得新增上游制度之外的规则,DERIVED,POL001;POL002;KB005;REF001;REF002,上游制度与本流程可执行步骤,VERIFIED,
CLM-0052,SOP015,可执行步骤,入职培训实施流程不得新增上游制度之外的规则,DERIVED,POL001;POL003;REF015,上游制度与本流程可执行步骤,VERIFIED,
CLM-0053,SOP016,可执行步骤,采购申请与询价流程不得新增上游制度之外的规则,DERIVED,POL011;POL012;POL015;KB005,上游制度与本流程可执行步骤,VERIFIED,
CLM-0054,SOP017,可执行步骤,供应商比选与准入流程不得新增上游制度之外的规则,DERIVED,POL011;POL012;KB005;REF014,上游制度与本流程可执行步骤,VERIFIED,
CLM-0055,SOP018,可执行步骤,合同审核与履约跟踪流程不得新增上游制度之外的规则,DERIVED,POL014;POL015;POL018;KB005;REF008,上游制度与本流程可执行步骤,VERIFIED,
CLM-0056,SOP019,可执行步骤,知识新增与审核流程不得新增上游制度之外的规则,DERIVED,POL009;KB006;KB008;REF017,上游制度与本流程可执行步骤,VERIFIED,
CLM-0057,SOP020,可执行步骤,知识版本与冲突处理流程不得新增上游制度之外的规则,DERIVED,POL009;KB006;KB008,上游制度与本流程可执行步骤,VERIFIED,
CLM-0058,SOP021,可执行步骤,知识废止与归档流程不得新增上游制度之外的规则,DERIVED,POL009;KB006;REF009,上游制度与本流程可执行步骤,VERIFIED,
CLM-0059,SOP022,可执行步骤,文档格式检查流程不得新增上游制度之外的规则,DERIVED,POL009;POL010;KB008,上游制度与本流程可执行步骤,VERIFIED,
CLM-0060,SOP023,可执行步骤,文档排版流程不得新增上游制度之外的规则,DERIVED,POL009;POL010;KB008,上游制度与本流程可执行步骤,VERIFIED,
CLM-0061,SOP024,可执行步骤,格式修复与模板套用流程不得新增上游制度之外的规则,DERIVED,POL009;POL010;KB008,上游制度与本流程可执行步骤,VERIFIED,
CLM-0062,SOP025,可执行步骤,绩效目标制定流程不得新增上游制度之外的规则,DERIVED,POL004;POL005;KB003,上游制度与本流程可执行步骤,VERIFIED,
CLM-0063,SOP026,可执行步骤,中期绩效回顾流程不得新增上游制度之外的规则,DERIVED,POL004;KB003,上游制度与本流程可执行步骤,VERIFIED,
CLM-0064,SOP027,可执行步骤,绩效评价与反馈流程不得新增上游制度之外的规则,DERIVED,POL004;POL001;REF015,上游制度与本流程可执行步骤,VERIFIED,
CLM-0065,SOP028,可执行步骤,绩效改进计划流程不得新增上游制度之外的规则,DERIVED,POL004;POL003,上游制度与本流程可执行步骤,VERIFIED,
CLM-0066,SOP029,可执行步骤,招标文件审查流程不得新增上游制度之外的规则,DERIVED,POL013;POL014;REF005;REF006;REF007;KB009,上游制度与本流程可执行步骤,VERIFIED,
CLM-0067,SOP030,可执行步骤,投标文件审查流程不得新增上游制度之外的规则,DERIVED,POL013;POL014;REF006;REF007;KB009,上游制度与本流程可执行步骤,VERIFIED,
CLM-0068,FAQ001,高频问答,请假与出勤常见问题仅解释上游规则,DERIVED,POL001;REF001,上游制度/流程与本问答,VERIFIED,
CLM-0069,FAQ002,高频问答,招聘面试评价常见问题仅解释上游规则,DERIVED,POL002;SOP014;REF002;REF015,上游制度/流程与本问答,VERIFIED,
CLM-0070,FAQ003,高频问答,绩效目标设定常见问题仅解释上游规则,DERIVED,POL004;SOP025,上游制度/流程与本问答,VERIFIED,
CLM-0071,FAQ004,高频问答,项目延期处理规则仅解释上游规则,DERIVED,POL005;POL007;SOP007;SOP008,上游制度/流程与本问答,VERIFIED,
CLM-0072,FAQ005,高频问答,会议决策与待办常见问题仅解释上游规则,DERIVED,POL008;SOP012,上游制度/流程与本问答,VERIFIED,
CLM-0073,FAQ006,高频问答,公文格式快速检查规则仅解释上游规则,DERIVED,POL009;POL010;SOP022;KB008,上游制度/流程与本问答,VERIFIED,
CLM-0074,FAQ007,高频问答,采购阈值适用问答仅解释上游规则,DERIVED,POL011;POL015;KB005,上游制度/流程与本问答,VERIFIED,
CLM-0075,FAQ008,高频问答,供应商准入问答仅解释上游规则,DERIVED,POL012;SOP017;REF014,上游制度/流程与本问答,VERIFIED,
CLM-0076,FAQ009,高频问答,招投标完整性资格商务技术评分与风险检查规则仅解释上游规则,DERIVED,POL013;SOP029;SOP030;REF006;REF007;KB009,上游制度/流程与本问答,VERIFIED,
CLM-0077,FAQ010,高频问答,合同付款条件检查规则仅解释上游规则,DERIVED,POL014;POL015;SOP018,上游制度/流程与本问答,VERIFIED,
CLM-0078,FAQ011,高频问答,项目成本偏差问答仅解释上游规则,DERIVED,POL016;POL015;DATA008,上游制度/流程与本问答,VERIFIED,
CLM-0079,FAQ012,高频问答,敏感数据使用问答仅解释上游规则,DERIVED,POL017;POL018;REF002;REF003;REF004,上游制度/流程与本问答,VERIFIED,
CLM-0080,POL001,3. 领域规则,建立劳动关系应依法及时订立书面劳动合同,EXPLICIT,SRC-LAW-001,第10条、第17条,VERIFIED,劳动合同强制要求
CLM-0081,POL002,3. 领域规则,候选人信息仅按招聘目的和必要范围处理,EXPLICIT,SRC-LAW-003,第5条、第6条、第13条,VERIFIED,个人信息处理边界
CLM-0082,POL003,3. 领域规则,培训完成不等同岗位能力达标，需以任务验证,DERIVED,POL003;REF015,正文第3至4节,VERIFIED,内部培训控制规则
CLM-0083,POL004,3. 领域规则,目标调整须在周期内留存原因与版本，不得期末追溯改写,DERIVED,POL004;SOP025,正文第3节,VERIFIED,绩效基线控制
CLM-0084,POL005,3. 领域规则,验收依据合同及批准后的需求和变更基线,DERIVED,POL005;POL007;POL014,正文第3节,VERIFIED,项目验收基线规则
CLM-0085,POL006,3. 领域规则,附条件批准须列明条件责任人期限和验证人,DERIVED,POL006;KB005,正文第3至4节,VERIFIED,立项条件控制
CLM-0086,POL007,3. 领域规则,项目变更须分别完成内部授权与客户确认链,DERIVED,POL007;POL014,正文第3节,VERIFIED,变更双确认链
CLM-0087,POL008,3. 领域规则,会议结论不得替代项目预算合同或人事正式审批,DERIVED,POL008;KB005,正文第3节,VERIFIED,会议授权边界
CLM-0088,POL009,3. 领域规则,合规电子档案与传统载体档案具有同等效力,EXPLICIT,SRC-LAW-008,第37条,VERIFIED,电子档案法律效力
CLM-0089,POL010,3. 领域规则,请示请求批准而报告不得夹带请示,DERIVED,POL010;SOP013,正文第3节,VERIFIED,文种选择规则
CLM-0090,POL011,3. 领域规则,关联采购不得拆分规避竞争或审批,DERIVED,POL011;SRC-MOF-003,正文第3节；采购业务控制要求,VERIFIED,采购反拆分控制
CLM-0091,POL012,3. 领域规则,供应商合同主体与收款账户不一致时停止建档或付款,DERIVED,POL012;REF014,正文第3节,VERIFIED,供应商主数据控制
CLM-0092,POL013,3. 领域规则,星澜100万元内部阈值不等同法定必须招标标准,SYNTHETIC,SRC-SYN-001,approval_rules.procurement_thresholds,VERIFIED,内外规则边界
CLM-0093,POL014,3. 领域规则,合同当事人须全面履行并承担通知协助保密等义务,EXPLICIT,SRC-LAW-006,民法典第509条,VERIFIED,合同履行义务
CLM-0094,POL015,3. 领域规则,会计核算必须依据实际发生的经济业务,EXPLICIT,SRC-LAW-009,第9条,VERIFIED,会计真实性要求
CLM-0095,POL016,3. 领域规则,成本偏差须在同一口径下同时说明金额比例原因趋势和截止日,DERIVED,POL016;REF010,正文第3节,VERIFIED,项目成本分析口径
CLM-0096,POL017,3. 领域规则,适用网络运营者义务时相关网络日志留存不少于六个月,EXPLICIT,SRC-LAW-002,2025修正文本第23条,VERIFIED,网络日志留存要求
CLM-0097,POL018,3. 领域规则,复制修改传播受保护作品须有许可或法定依据,EXPLICIT,SRC-LAW-010,第10条、第11条及许可使用规则,VERIFIED,著作权使用边界
